Ativo,Data,Hora,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINJ20,31/03/2020,17:50:00,72015.00,72175.00,71935.00,71950.00,408329032.90,28343
WINJ20,31/03/2020,17:45:00,72390.00,72455.00,71880.00,72010.00,651973277.50,45156
WINJ20,31/03/2020,17:40:00,72490.00,72540.00,72300.00,72385.00,481290711.00,33223
WINJ20,31/03/2020,17:35:00,72270.00,72510.00,72255.00,72490.00,544796451.00,37643
WINJ20,31/03/2020,17:30:00,72460.00,72515.00,72265.00,72275.00,478759118.00,33062
WINJ20,31/03/2020,17:25:00,72440.00,72545.00,72390.00,72465.00,377958442.50,26081
WINJ20,31/03/2020,17:20:00,72485.00,72510.00,72335.00,72445.00,464578339.80,32077
WINJ20,31/03/2020,17:15:00,72200.00,72560.00,72200.00,72485.00,890802968.00,61543
WINJ20,31/03/2020,17:10:00,72910.00,72960.00,72200.00,72200.00,1405303356.00,96791
WINJ20,31/03/2020,17:05:00,72870.00,72980.00,72855.00,72910.00,669161129.90,45885
WINJ20,31/03/2020,17:00:00,72900.00,72950.00,72815.00,72870.00,832037375.20,57071
WINJ20,31/03/2020,16:55:00,73000.00,73105.00,72800.00,72900.00,1648628742.00,112994
WINJ20,31/03/2020,16:50:00,72680.00,73060.00,72620.00,73000.00,2000029973.00,137152
WINJ20,31/03/2020,16:45:00,72895.00,72970.00,72595.00,72675.00,1404269934.00,96439
WINJ20,31/03/2020,16:40:00,72850.00,72985.00,72675.00,72890.00,1468138689.00,100753
WINJ20,31/03/2020,16:35:00,72705.00,72975.00,72570.00,72850.00,1610103460.00,110560
WINJ20,31/03/2020,16:30:00,72575.00,72765.00,72525.00,72700.00,1525415869.00,104956
WINJ20,31/03/2020,16:25:00,72370.00,72700.00,72360.00,72580.00,1419640757.00,97789
WINJ20,31/03/2020,16:20:00,72870.00,72915.00,72190.00,72370.00,2445549441.00,168636
WINJ20,31/03/2020,16:15:00,73690.00,73765.00,72820.00,72870.00,3115085756.00,212544
WINJ20,31/03/2020,16:10:00,74090.00,74105.00,73610.00,73690.00,1651184521.00,111717
WINJ20,31/03/2020,16:05:00,74050.00,74145.00,73955.00,74095.00,1159145086.00,78257
WINJ20,31/03/2020,16:00:00,74200.00,74320.00,73985.00,74050.00,1329514016.00,89621
WINJ20,31/03/2020,15:55:00,74190.00,74265.00,74150.00,74200.00,898170631.00,60521
WINJ20,31/03/2020,15:50:00,74180.00,74330.00,74110.00,74190.00,1318188090.00,88817
WINJ20,31/03/2020,15:45:00,74360.00,74380.00,74065.00,74185.00,1703552875.00,114813
WINJ20,31/03/2020,15:40:00,74400.00,74435.00,74260.00,74360.00,1263641521.00,84962
WINJ20,31/03/2020,15:35:00,74235.00,74450.00,74185.00,74400.00,1515701379.00,101962
WINJ20,31/03/2020,15:30:00,74205.00,74275.00,74085.00,74235.00,1178907007.00,79445
WINJ20,31/03/2020,15:25:00,74040.00,74220.00,74015.00,74210.00,1104918065.00,74540
WINJ20,31/03/2020,15:20:00,74045.00,74130.00,73935.00,74040.00,1224662959.00,82706
WINJ20,31/03/2020,15:15:00,74125.00,74160.00,73960.00,74050.00,1336919977.00,90284
WINJ20,31/03/2020,15:10:00,74285.00,74330.00,74115.00,74125.00,1174350830.00,79100
WINJ20,31/03/2020,15:05:00,74100.00,74350.00,74040.00,74285.00,1440697859.00,97104
WINJ20,31/03/2020,15:00:00,74160.00,74215.00,74060.00,74105.00,1156068750.00,77967
WINJ20,31/03/2020,14:55:00,73860.00,74180.00,73850.00,74155.00,1521749864.00,102785
WINJ20,31/03/2020,14:50:00,74080.00,74105.00,73810.00,73860.00,1611611722.00,109003
WINJ20,31/03/2020,14:45:00,74110.00,74180.00,74010.00,74080.00,1007887267.00,68019
WINJ20,31/03/2020,14:40:00,74170.00,74235.00,74030.00,74110.00,1482673791.00,100019
WINJ20,31/03/2020,14:35:00,74150.00,74310.00,74100.00,74165.00,1363626291.00,91864
WINJ20,31/03/2020,14:30:00,74075.00,74240.00,73920.00,74145.00,1564364751.00,105539
