Ativo,Data,Hora,Abertura,Máximo,Mínimo,Fechamento,Volume
WIN$,18/08/2021,09:00:00,190370.0,190440.0,190040.0,190420.0,172469
WIN$,18/08/2021,09:05:00,190415.0,190445.0,190085.0,190140.0,119500
WIN$,18/08/2021,09:10:00,190140.0,190195.0,190000.0,190005.0,117598
WIN$,18/08/2021,09:15:00,190010.0,190020.0,189835.0,189940.0,159002
WIN$,18/08/2021,09:20:00,189945.0,190145.0,189900.0,190135.0,177235
WIN$,18/08/2021,09:25:00,190130.0,190205.0,189720.0,189755.0,241424
WIN$,18/08/2021,09:30:00,189750.0,189915.0,189695.0,189780.0,183322
WIN$,18/08/2021,09:35:00,189785.0,189865.0,189700.0,189755.0,136245
WIN$,18/08/2021,09:40:00,189755.0,189785.0,189590.0,189595.0,174380
WIN$,18/08/2021,09:45:00,189595.0,189645.0,189505.0,189565.0,157290
WIN$,18/08/2021,09:50:00,189560.0,189715.0,189445.0,189700.0,259713
WIN$,18/08/2021,09:55:00,189705.0,189835.0,189700.0,189820.0,157860
WIN$,18/08/2021,10:00:00,189815.0,190035.0,189630.0,189910.0,432675
WIN$,18/08/2021,10:05:00,189910.0,189920.0,189625.0,189645.0,227909
WIN$,18/08/2021,10:10:00,189645.0,189725.0,189350.0,189365.0,352683
WIN$,18/08/2021,10:15:00,189360.0,189410.0,189180.0,189195.0,316336
WIN$,18/08/2021,10:20:00,189190.0,189270.0,189080.0,189110.0,215523
WIN$,18/08/2021,10:25:00,189110.0,189195.0,189035.0,189175.0,201347
WIN$,18/08/2021,10:30:00,189175.0,189345.0,188990.0,189210.0,450040
WIN$,18/08/2021,10:35:00,189215.0,189320.0,189100.0,189120.0,258835
WIN$,18/08/2021,10:40:00,189120.0,189270.0,188985.0,189070.0,309793
WIN$,18/08/2021,10:45:00,189070.0,189160.0,188945.0,189130.0,298287
WIN$,18/08/2021,10:50:00,189135.0,189655.0,189010.0,189650.0,373088
WIN$,18/08/2021,10:55:00,189645.0,189925.0,189595.0,189845.0,372376
WIN$,18/08/2021,11:00:00,189845.0,189855.0,189480.0,189505.0,332515
WIN$,18/08/2021,11:05:00,189500.0,189550.0,189290.0,189365.0,319251
WIN$,18/08/2021,11:10:00,189360.0,189445.0,189055.0,189205.0,324525
WIN$,18/08/2021,11:15:00,189205.0,189295.0,188895.0,189165.0,363220
WIN$,18/08/2021,11:20:00,189165.0,189170.0,188900.0,188985.0,284325
WIN$,18/08/2021,11:25:00,188980.0,189030.0,188770.0,189000.0,306557
WIN$,18/08/2021,11:30:00,188995.0,189080.0,188780.0,189000.0,322702
WIN$,18/08/2021,11:35:00,189000.0,189120.0,188840.0,188920.0,261826
WIN$,18/08/2021,11:40:00,188915.0,189095.0,188800.0,189085.0,230378
WIN$,18/08/2021,11:45:00,189085.0,189375.0,189065.0,189300.0,330672
WIN$,18/08/2021,11:50:00,189295.0,189400.0,189155.0,189375.0,235706
WIN$,18/08/2021,11:55:00,189380.0,189390.0,189140.0,189295.0,228034
WIN$,18/08/2021,12:00:00,189295.0,189395.0,189230.0,189360.0,203660
WIN$,18/08/2021,12:05:00,189360.0,189605.0,189360.0,189450.0,282123
WIN$,18/08/2021,12:10:00,189455.0,189520.0,189040.0,189060.0,306691
WIN$,18/08/2021,12:15:00,189055.0,189245.0,188965.0,189215.0,232404
WIN$,18/08/2021,12:20:00,189210.0,189545.0,189170.0,189545.0,204552
WIN$,18/08/2021,12:25:00,189545.0,189645.0,189470.0,189555.0,200557
WIN$,18/08/2021,12:30:00,189555.0,189625.0,189165.0,189290.0,329137
WIN$,18/08/2021,12:35:00,189285.0,189310.0,189065.0,189170.0,244597
WIN$,18/08/2021,12:40:00,189170.0,189245.0,189060.0,189175.0,193122
WIN$,18/08/2021,12:45:00,189175.0,189445.0,189170.0,189420.0,165216
WIN$,18/08/2021,12:50:00,189420.0,189565.0,189275.0,189380.0,212888
WIN$,18/08/2021,12:55:00,189380.0,189625.0,189330.0,189480.0,181360
WIN$,18/08/2021,13:00:00,189475.0,189715.0,189450.0,189585.0,220523
WIN$,18/08/2021,13:05:00,189585.0,189705.0,189475.0,189550.0,176807
WIN$,18/08/2021,13:10:00,189550.0,189570.0,189235.0,189305.0,185300
WIN$,18/08/2021,13:15:00,189305.0,189350.0,189160.0,189215.0,145030
WIN$,18/08/2021,13:20:00,189220.0,189255.0,189105.0,189190.0,138449
WIN$,18/08/2021,13:25:00,189195.0,189415.0,189090.0,189270.0,197760
WIN$,18/08/2021,13:30:00,189270.0,189515.0,189260.0,189460.0,162633
WIN$,18/08/2021,13:35:00,189455.0,189565.0,189330.0,189410.0,150345
WIN$,18/08/2021,13:40:00,189415.0,189695.0,189360.0,189555.0,170844
WIN$,18/08/2021,13:45:00,189560.0,190020.0,189510.0,189925.0,233936
WIN$,18/08/2021,13:50:00,189925.0,189980.0,189785.0,189875.0,168660
WIN$,18/08/2021,13:55:00,189875.0,190095.0,189785.0,190095.0,196132
WIN$,18/08/2021,14:00:00,190090.0,190230.0,190050.0,190215.0,191705
WIN$,18/08/2021,14:05:00,190215.0,190440.0,190160.0,190420.0,231779
WIN$,18/08/2021,14:10:00,190425.0,190440.0,190225.0,190390.0,190150
WIN$,18/08/2021,14:15:00,190390.0,190870.0,190385.0,190850.0,315541
WIN$,18/08/2021,14:20:00,190855.0,190950.0,190650.0,190745.0,246163
WIN$,18/08/2021,14:25:00,190750.0,190750.0,190460.0,190715.0,213383
WIN$,18/08/2021,14:30:00,190715.0,190755.0,190555.0,190650.0,156638
WIN$,18/08/2021,14:35:00,190650.0,190680.0,190555.0,190670.0,108536
WIN$,18/08/2021,14:40:00,190675.0,190970.0,190505.0,190945.0,243098
WIN$,18/08/2021,14:45:00,190945.0,190955.0,190605.0,190670.0,196784
WIN$,18/08/2021,14:50:00,190670.0,190785.0,190605.0,190705.0,138114
WIN$,18/08/2021,14:55:00,190705.0,191165.0,190550.0,190675.0,255390
WIN$,18/08/2021,15:00:00,190675.0,190970.0,190380.0,190810.0,277399
WIN$,18/08/2021,15:05:00,190805.0,190820.0,190445.0,190720.0,223128
WIN$,18/08/2021,15:10:00,190725.0,190820.0,190140.0,190300.0,339360
WIN$,18/08/2021,15:15:00,190300.0,190420.0,190180.0,190410.0,209573
WIN$,18/08/2021,15:20:00,190405.0,190690.0,190275.0,190665.0,243170
WIN$,18/08/2021,15:25:00,190670.0,190780.0,190510.0,190625.0,200098
WIN$,18/08/2021,15:30:00,190625.0,190885.0,190575.0,190765.0,208144
WIN$,18/08/2021,15:35:00,190770.0,190775.0,190460.0,190490.0,174641
WIN$,18/08/2021,15:40:00,190495.0,190510.0,190320.0,190370.0,177214
WIN$,18/08/2021,15:45:00,190370.0,190385.0,190100.0,190105.0,226079
WIN$,18/08/2021,15:50:00,190110.0,190125.0,189755.0,189885.0,261989
WIN$,18/08/2021,15:55:00,189890.0,190000.0,189800.0,189825.0,167557
WIN$,18/08/2021,16:00:00,189825.0,189935.0,189705.0,189850.0,202618
WIN$,18/08/2021,16:05:00,189850.0,189985.0,189770.0,189905.0,144360
WIN$,18/08/2021,16:10:00,189905.0,190150.0,189800.0,190105.0,212519
WIN$,18/08/2021,16:15:00,190105.0,190120.0,189955.0,190015.0,138707
WIN$,18/08/2021,16:20:00,190020.0,190070.0,189655.0,189685.0,208591
WIN$,18/08/2021,16:25:00,189690.0,189740.0,189295.0,189440.0,260894
WIN$,18/08/2021,16:30:00,189440.0,189440.0,189030.0,189130.0,251395
WIN$,18/08/2021,16:35:00,189135.0,189315.0,189010.0,189310.0,217156
WIN$,18/08/2021,16:40:00,189315.0,189390.0,189190.0,189325.0,152102
WIN$,18/08/2021,16:45:00,189325.0,189335.0,188795.0,188915.0,269065
WIN$,18/08/2021,16:50:00,188915.0,189030.0,188705.0,189010.0,235276
WIN$,18/08/2021,16:55:00,189010.0,189020.0,188615.0,188700.0,160363
WIN$,18/08/2021,17:00:00,188705.0,188745.0,188520.0,188550.0,176615
WIN$,18/08/2021,17:05:00,188550.0,188685.0,188535.0,188575.0,98397
WIN$,18/08/2021,17:10:00,188575.0,188850.0,188565.0,188825.0,90462
WIN$,18/08/2021,17:15:00,188820.0,188835.0,188590.0,188645.0,95374
WIN$,18/08/2021,17:20:00,188650.0,188685.0,188480.0,188495.0,90480
WIN$,18/08/2021,17:25:00,188490.0,188590.0,188325.0,188355.0,111681
WIN$,18/08/2021,17:30:00,188350.0,188370.0,188195.0,188210.0,113782
WIN$,18/08/2021,17:35:00,188210.0,188285.0,187950.0,188095.0,137183
WIN$,18/08/2021,17:40:00,188100.0,188475.0,188100.0,188395.0,108757
WIN$,18/08/2021,17:45:00,188400.0,188555.0,188290.0,188485.0,70610
WIN$,18/08/2021,17:50:00,188490.0,188500.0,188250.0,188440.0,45568
WIN$,19/08/2021,09:00:00,186680.0,187080.0,186305.0,186440.0,278287
WIN$,19/08/2021,09:05:00,186445.0,186775.0,186420.0,186770.0,197366
WIN$,19/08/2021,09:10:00,186770.0,186825.0,186610.0,186675.0,218412
WIN$,19/08/2021,09:15:00,186680.0,186860.0,186630.0,186845.0,188071
WIN$,19/08/2021,09:20:00,186845.0,187080.0,186820.0,187065.0,203617
WIN$,19/08/2021,09:25:00,187065.0,187240.0,186950.0,187170.0,236361
WIN$,19/08/2021,09:30:00,187175.0,187330.0,187080.0,187125.0,214569
